feature,label
2.486767485822284,74
2.116257088846922,74
1.8459357277882944,74
3.044896030245752,74
3.2150283553875525,75
0.7741020793950639,75
0.4664461247636922,76
0.9281663516067802,76
0.6767485822306405,76
0.521266540642717,76
0.2022684310018832,76
0.6583175803402916,76
1.6871455576560024,76
0.7344045368620158,76
0.9673913043478493,76
0.5812854442343856,76
0.8695652173913366,76
1.0203213610586062,76
1.224952741020772,76
1.603024574669206,76
1.7977315689980955,76
2.2292060491493793,76
2.9012287334593587,76
0.6597353497164207,76
1.8634215500945253,76
0.7769376181474819,76
0.8558601134215635,76
2.4896030245746843,76
1.6739130434782794,76
0.30142367674856985,76
1.142361111111093,76
0.9292534722222037,76
1.1718750000000142,76
1.2148437499999893,76
0.47395833333334636,76
1.3689236111111356,76
0.46614583333333215,76
1.0082465277777786,76
1.1532118055555145,76
0.6197916666666643,76
1.5251736111111143,76
2.3381076388888857,76
1.6601562500000142,76
0.7638888888888999,76
1.1517899338374207,76
1.1965973534971717,76
2.9711720226843035,76
1.515595463137977,76
2.055765595463164,76
0.7826086956521578,76
1.0893194706994542,76
1.3634215500945217,76
1.6318525519848883,76
0.6507561436673122,76
2.475425330812879,76
0.939508506616292,76
0.8308128544423568,76
1.4328922495273986,76
0.7537807183364862,76
2.3903591682419574,76
0.6034971644612241,76
1.4929111531190955,76
1.4621928166351488,76
1.021739130434728,76
1.2150283553875276,76
1.3431001890358942,76
2.0023629489602897,76
0.8081285444234503,76
0.31285444234404025,76
1.4206049149338185,76
0.3714555765595762,76
1.9569943289225193,76
0.8605860113421215,76
0.6743856332703118,76
0.15926275992440253,76
0.764650283553916,76
0.5775047258979491,76
1.1096408317580355,76
2.382797731568992,76
1.793478260869545,76
1.3038752362949104,76
1.4489603024574649,76
0.7514177693761823,76
1.053402646502839,76
0.37003780718337964,76
1.9248582230623654,76
2.0850661625708895,76
0.6271266540642557,76
0.4272211720227084,76
0.9470699432892147,76
0.8780718336484092,76
0.38894139886578216,76
0.9073724007561417,76
1.6408317580340288,76
0.8653119092627684,76
0.8747637051039838,76
0.30434782608695343,76
0.3322306238185142,76
0.6105860113421535,76
1.2145557655954633,76
1.3544423440454096,76
0.8690926275992901,76
0.8208884688091054,76
1.0434782608695734,76
0.8057655954631215,76
1.072306238185238,76
1.4423440453686283,76
0.6488657844990513,76
0.6583175803402739,76
0.7292060491493579,76
1.9215500945179649,76
1.4064272211720343,76
0.8539697542532743,76
0.8350661625708753,76
1.1361058601134033,76
2.087901701323222,76
3.0992438563326807,76
0.9848771266540659,76
0.3293950850661709,76
0.6290170132325201,76
1.0671077504725908,76
0.6176748582230687,76
1.547731568998124,76
0.8289224952740959,76
1.7377126654064412,76
2.0633270321361117,76
0.6795841209829767,76
2.270321361058592,76
1.435727788279742,76
0.6616257088846851,76
